Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
"Avinger, Inc.",USA,Healthcare,Medical Devices,USD,au_market,NGM,1,25026542,1.646561,2.5
"Auxilio, Inc.",USA, , , ,au_market,ASE, , , , 
Americas United Bank,USA, , , ,au_market,PNK, , , , 
"Atomic Paintball, Inc.",USA, , , ,au_market,PNK, , , , 
Astea International Inc.,USA, , , ,au_market,PNK, , , , 
Alimentation Couche-Tard Inc.,Canada,Consumer Defensive,Grocery Stores,USD,au_market,TOR,15,47963549696,0.874195,1.9
ASICS Corporation,USA,Consumer Cyclical,Footwear & Accessories, ,au_market,PNK, ,3304524800,1.293778, 
ARC Resources Ltd.,Canada,Energy,Oil & Gas E&P,CAD,au_market,TOR,15,2197998592,2.03431,1.9
"Arch Therapeutics, Inc.",USA,Healthcare,Biotechnology,USD,au_market,PNK,2,31611116,0.186583,2
"American Retail Group, Inc.",USA, , , ,au_market,PNK, ,343950016, , 
Andina Acquisition Corp. II,USA,Financial Services,Shell Companies, ,au_market,NCM, ,45322524, , 
"AmpliTech Group, Inc.",USA,Technology,Communication Equipment, ,au_market,PNK, ,9801910,0.68151, 
"Apollo Medical Holdings, Inc.",USA,Healthcare,Medical Care Facilities,USD,au_market,PNK,1,661666368,0.497243, 
Ambow Education Holding Ltd.,USA, , , ,au_market,PNK, , , , 
Aker Solutions,Norway,Energy,Oil & Gas Equipment & Services,NOK,au_market,OSL,15,6864306688,2.032278, 
Ashtead Group plc,United Kingdom,Industrials,Rental & Leasing Services,GBP,au_market,LSE,16,14407251968,1.38481, 
Ag Growth International Inc.,Canada,Industrials,Farm & Heavy Construction Machinery,CAD,au_market,TOR,7,593202112,2.749106,2.3
Air France-KLM SA,France,Industrials, ,EUR,au_market,PAR,17,2181613056,1.135443, 
"AudioEye, Inc.",USA,Technology,Software—Application,USD,au_market,PNK,2,174800640,2.361894,1.5
"Aerogrow International, Inc.",USA,Consumer Cyclical,Home Improvement Retail,USD,au_market,PNK, ,101954160,1.498308, 
Advant-E Corp.,USA,Technology,Software—Application,USD,au_market,PNK, ,32223768,-0.127395, 
"Auburn Bancorp, Inc.",USA,Financial Services,Banks—Regional, ,au_market,PNK, ,3623640,0.295941, 
The Alkaline Water Company Inc.,USA,Consumer Defensive,Beverages—Non-Alcoholic,USD,au_market,PNK, ,81327336,3.071025,2.3
Woodside Petroleum Ltd,Australia,Energy,Oil & Gas E&P,USD,au_market,ASX,13,21573105664,1.281012, 
Wihlborgs Fastigheter AB (publ),Sweden,Real Estate,Real Estate Services,SEK,au_market,STO,6,27960391680,0.468354, 
Whitehaven Coal Limited,Australia,Energy, ,AUD,au_market,ASX,16,1400558208,0.757594, 
Wesfarmers Limited,Australia,Consumer Cyclical,Home Improvement Retail,AUD,au_market,ASX,12,56998137856,0.608227, 
Vestas Wind Systems A/S,Denmark,Industrials,Specialty Industrial Machinery,EUR,au_market,CPH,19,241743069184,0.782911, 
AB Volvo (publ),Sweden,Industrials,Farm & Heavy Construction Machinery,SEK,au_market,STO,15,396462718976,1.310126, 
Venture Minerals Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,au_market,ASX,1,38985716,2.106329, 
Viking Mines Limited,Australia,Basic Materials,Gold, ,au_market,ASX, ,9773515,1.387974, 
UCW Limited,Australia,Consumer Defensive,Education & Training Services,AUD,au_market,ASX, ,19977380,0.73924, 
TZ Limited,Australia,Industrials,Security & Protection Services,AUD,au_market,ASX,1,8713932,0.970253, 
Town and Country Financial Corporation,USA,Financial Services,Banks—Regional,USD,au_market,PNK, ,18900004,0.425591, 
Telstra Corporation Limited,Australia,Communication Services,Telecom Services,AUD,au_market,ASX,12,36274565120,0.432278, 
"Tiger Oil and Energy, Inc.",USA,Energy,Oil & Gas Integrated, ,au_market,PNK, ,299780,-108.26268, 
Southern Cross Media Group Limited,Australia,Communication Services,Entertainment,AUD,au_market,ASX,4,631471488,1.45886, 
Statoil ASA,Norway, , , ,au_market,OSL, , , , 
"Cord Blood America, Inc.",USA, , , ,au_market,PNK, , , , 
"Signal Advance, Inc.",USA,Technology,Scientific & Technical Instruments, ,au_market,PNK, ,470703,1.521984, 
Svenska Cellulosa Aktiebolaget SCA (publ),Sweden,Basic Materials,Lumber & Wood Production, ,au_market,STO, ,99189284864,0.420253, 
SAS AB (publ),Sweden,Industrials,Airports & Air Services,SEK,au_market,STO,3,11175169024,1.158227, 
Rezidor Hotel Group AB (publ),Sweden, , , ,au_market,STO, , , , 
REA Group Limited,Australia,Communication Services,Internet Content & Information,AUD,au_market,ASX,10,19107895296,0.837341, 
Ritchie Bros. Auctioneers Incorporated,Canada,Industrials,Specialty Business Services,USD,au_market,TOR,3,9855845376,1.127959, 
North American Palladium Ltd.,Canada, , , ,au_market,TOR, , , , 
Proact IT Group AB (publ),Sweden,Technology,Information Technology Services,SEK,au_market,STO,1,2310784000,1.751898, 
Neptune Marine Services Limited,Australia, , , ,au_market,ASX, , , , 
Nex Metals Explorations Limited,Australia,Basic Materials,Gold, ,au_market,ASX, ,14953344,-0.389873, 
National Australia Bank Limited,Australia,Financial Services,Banks—Diversified,AUD,au_market,ASX,12,75676434432,0.83481, 
"MacDonald, Dettwiler and Associates Ltd.",Canada, , , ,au_market,TOR, , , , 
L E Lundbergföretagen AB (publ),Sweden,Financial Services,Asset Management,SEK,au_market,STO,1,108276801536,0.5, 
Lonza Group Ltd,Germany, , , ,au_market,GER, , , , 
Leaf Resources Limited,Australia,Basic Materials,Specialty Chemicals,AUD,au_market,ASX, ,5719456,0.637341, 
Living Cell Technologies Limited,Australia,Healthcare,Biotechnology, ,au_market,ASX, ,8571615,0.781645, 
Lindsay Australia Limited,Australia,Industrials,Trucking,AUD,au_market,ASX,1,94276344,0.336708, 
Lojas Americanas S.A.,Brazil,Consumer Cyclical,Department Stores,BRL,au_market,SAO,13,40173441024,0.894626, 
Korvest Ltd,Australia,Industrials,Metal Fabrication,AUD,au_market,ASX,1,54365284,1.04367, 
Kip McGrath Education Centres Limited,Australia,Consumer Defensive,Education & Training Services,AUD,au_market,ASX, ,78028952,0.281645, 
KeyBridge Capital Limited,Australia,Financial Services,Asset Management,AUD,au_market,ASX, ,11186263,0.425949, 
