Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
"Air T, Inc.",USA,Industrials,Integrated Freight & Logistics,USD,au_market,NCM, ,31988536,1.131341, 
Accor SA,France,Consumer Cyclical,Lodging,EUR,au_market,PAR,15,7708185088,1.255696, 
Anheuser-Busch InBev SA/NV,Belgium,Consumer Defensive,Beverages—Brewers,USD,au_market,BRU,27,110065500160,1.134177, 
XRF Scientific Limited,Australia,Technology,Scientific & Technical Instruments,AUD,au_market,ASX,1,41713908,0.70886, 
Woolworths Limited,Australia,Consumer Defensive,Grocery Stores,AUD,au_market,ASX,12,47881224192,0.329746, 
Wirecard AG,Germany,Technology,Software—Application,EUR,au_market,GER,30,61968352, , 
Waterco Limited,Australia,Industrials,Pollution & Treatment Controls, ,au_market,ASX, ,103810144,0.156962, 
QBE Insurance Group Limited,Australia,Financial Services,Insurance—Property & Casualty,USD,au_market,ASX,11,14826268672,1.167088, 
ArcelorMittal,Netherlands,Basic Materials,Steel,USD,au_market,AMS,17,16940669952,1.942405, 
Industrial Alliance Insurance and Financial Services Inc.,Canada,Financial Services,Insurance—Diversified,CAD,au_market,TOR,9,6206554112, ,2
Brambles Limited,Australia,Industrials,Specialty Business Services,USD,au_market,ASX,10,16569464832,0.52405, 
BHP Billiton Limited,Australia,Basic Materials,Other Industrial Metals & Mining,USD,au_market,ASX,16,198826835968,0.987974, 
Aviva plc,United Kingdom,Financial Services,Insurance—Diversified,GBP,au_market,LSE,15,13020557312,1.140506, 
ATS Automation Tooling Systems Inc.,Canada,Industrials,Specialty Industrial Machinery,CAD,au_market,TOR,6,2017566208,1.292351,2.2
"Aspen Aerogels, Inc.",USA,Industrials,Building Products & Equipment,USD,au_market,NYQ,6,385823040,1.702931,2
American Riviera Bank,USA,Financial Services,Banks—Regional, ,au_market,PNK, ,26613686,0.719842, 
"Advanced Oxygen Technologies, Inc.",USA,Real Estate,Real Estate Services,USD,au_market,PNK, ,355637,-2.324126, 
"Avalon Oil & Gas, Inc.",USA, , , ,au_market,PNK, , , , 
Allianz SE,Germany,Financial Services,Insurance—Diversified,EUR,au_market,GER,29,82232295424,1.159493,2.4
"Allied Resources, Inc.",USA,Energy,Oil & Gas E&P, ,au_market,PNK, ,565300,0.712514, 
Embotelladora Andina S.A.,USA,Consumer Defensive,Beverages—Non-Alcoholic,CLP,au_market,NYQ,7,2131364608,0.387909,2.3
Agrium Inc.,Canada, , , ,au_market,TOR, , , , 
Alaris Royalty Corp.,Canada, , , ,au_market,TOR, , , , 
"Abtech Holdings, Inc.",USA, , , ,au_market,PNK, , , , 
AmBase Corporation,USA,Real Estate,Real Estate Services,USD,au_market,PNK, ,13681961,0.950958, 
Almaden Minerals Ltd.,USA,Basic Materials,Gold, ,au_market,ASE, ,112472192,1.547533, 
World Reach Limited,Australia, , , ,au_market,ASX, , , , 
Argex Titanium Inc.,Canada, , , ,au_market,TOR, , , , 
Macquarie Group Limited,Australia,Financial Services,Capital Markets,AUD,au_market,ASX,12, ,1.286708, 
Mariner Corporation Limited,Australia,Financial Services,Asset Management, ,au_market,ASX, ,1441596,0.162658, 
K2 Energy Limited,Australia,Technology,Semiconductors, ,au_market,ASX, ,5411825,1.595569, 
Impact Minerals Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,au_market,ASX, ,39135580,0.606962, 
Information Analysis Incorporated,USA,Technology,Information Technology Services,USD,au_market,PNK, ,12387980,3.069334, 
"Hennessy Advisors, Inc.",USA, ,Asset Management,USD,au_market,NCM, ,68098032,0.948139,1
"Gray Television, Inc.",USA,Communication Services,Broadcasting,USD,au_market,NYQ,1,1602253440,1.900225,2
"Farmers & Merchants Bancorp, Inc.",USA,Financial Services,Banks—Regional,USD,au_market,NCM,2,256482720,0.215896,3
Dais Analytic Corporation,USA,Industrials,Electrical Equipment & Parts, ,au_market,PNK, ,41719,-1.414317, 
Ceres Global Ag Corp.,Canada,Industrials,Specialty Business Services, ,au_market,TOR, ,118783008,-0.802001, 
BuyMyPlace.com.au Limited,Australia, , , ,au_market,ASX, , , , 
"Advanced Voice Recognition Systems, Inc.",USA,Technology,Software—Application, ,au_market,PNK, ,5296158,2.543404, 
