Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
Interoil Exploration and Production ASA,Norway,Energy,Oil & Gas E&P,USD,au_market,OSL,1,179109952, ,5
Imugene Limited,Australia,Healthcare,Biotechnology,AUD,au_market,ASX, ,574722496,0.782911, 
Iluka Resources Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,au_market,ASX,7,2270274816,1.543037, 
High Arctic Energy Services Inc,Canada,Energy,Oil & Gas Equipment & Services,CAD,au_market,TOR,1,50760008,2.197283,3
Harvey Norman Holdings Limited,Australia,Consumer Cyclical,Department Stores,AUD,au_market,ASX,9,5843786752,0.742405, 
"Hispanica International Delights of America, Inc.",USA, , , ,au_market,PNK, , , , 
Alphabet Inc.,Mexico,Communication Services,Internet Content & Information, ,au_market,MEX, ,24698217824256,1.023111, 
GrainCorp Limited,Australia,Consumer Defensive,Farm Products,AUD,au_market,ASX,7,1036717760,1.129113, 
"Great Lakes Aviation, Ltd.",USA,Industrials,Airlines,USD,au_market,PNK, ,358999,3.02593, 
"GI Dynamics, Inc.",Australia, , , ,au_market,ASX, , , , 
FLYHT Aerospace Solutions Ltd.,Canada,Industrials,Aerospace & Defense,CAD,au_market,VAN,1, ,1.407433, 
Ekornes ASA,Norway, , , ,au_market,OSL, , , , 
"Soul and Vibe Interactive, Inc.",USA, , , ,au_market,PNK, , , , 
Duni AB (publ),Sweden,Consumer Defensive,Household & Personal Products,SEK,au_market,STO,1,4878496256,1.414556, 
DNO ASA,Norway,Energy,Oil & Gas E&P,USD,au_market,OSL,9,6218935296,2.502531, 
"U.S. Aerospace, Inc.",USA,Industrial Goods,Aerospace/Defense Products & Services, ,au_market,PNK, ,7256,293.47067, 
Danske Bank A/S,Denmark,Financial Services,Banks—Regional,DKK,au_market,CPH,21,88631820288,0.977848, 
"Cisco Systems, Inc.",Argentina,Technology,Communication Equipment, ,au_market,BUE, ,15114830872576,0.845546, 
Sociedad Comercial del Plata S.A.,Argentina,Industrials,Conglomerates,ARS,au_market,BUE,2,10797488,1.874055, 
Cochlear Limited,Australia,Healthcare,Medical Devices,AUD,au_market,ASX,13,14543400960,0.434177, 
Spectrum Rare Earths Limited,Australia, , , ,au_market,ASX, , , , 
Centrale d'Achat Française pour l'Outre-Mer Société Anonyme,France,Consumer Cyclical,Specialty Retail,EUR,au_market,PAR,1, ,0.415822, 
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,Germany,Consumer Cyclical,Leisure,EUR,au_market,GER,2,534410208,0.60886, 
Boral Limited,Australia,Basic Materials,Building Materials,AUD,au_market,ASX,7,6005685248,1.822151, 
Banco Hipotecario S.A.,Argentina,Financial Services,Banks—Regional,ARS,au_market,BUE,2,14699299840,2.035264, 
Bendigo and Adelaide Bank Limited,Australia,Financial Services,Banks—Regional,AUD,au_market,ASX,12,4776279040,0.761392, 
Beijer Ref AB (publ),Sweden, , ,SEK,au_market,STO,2,36822265856, , 
"Banco Bilbao Vizcaya Argentaria, S.A.",Spain,Financial Services,Banks—Diversified,EUR,au_market,MCE,27,27020843008,1.346835,2.5
Accsys Technologies Plc,United Kingdom, , ,EUR,au_market,LSE,1,201236896, , 
Amexdrug Corp.,USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,au_market,PNK, ,33821424,-1.375986, 
"AXIM Biotechnologies, Inc.",USA,Healthcare,Biotechnology, ,au_market,PNK, ,51330768,-0.255355, 
"Avidbank Holdings, Inc.",USA,Financial Services,Banks—Regional, ,au_market,PNK, ,109357744,0.651071, 
Fincera Inc.,USA, , , ,au_market,PNK, , , , 
Aurobindo Pharma Limited,India,Healthcare,Drug Manufacturers—Specialty & Generic,INR,au_market,NSI,32,521456418816,0.741393, 
CapitaLand Retail China Trust,Singapore,Real Estate,REIT—Retail,SGD,au_market,SES,6,1534214784,0.637974, 
ASX Limited,Australia,Financial Services,Financial Data & Stock Exchanges,AUD,au_market,ASX,11,15007483904,0.307594, 
Alacer Gold Corp.,Canada, , , ,au_market,TOR, , , , 
Auscrete Corporation,USA,Consumer Cyclical,Residential Construction, ,au_market,PNK, ,301797,0.672491, 
"Arno Therapeutics, Inc.",USA,Healthcare,Biotechnology,USD,au_market,PNK,1,172723,0.850056, 
Argonaut Gold Inc.,Canada,Basic Materials,Gold,USD,au_market,TOR,7,714788224,1.456754,2
Aqualis ASA,Norway,Energy,Oil & Gas Equipment & Services,USD,au_market,OSL,1,643395008,1.297468, 
"Applied Visual Sciences, Inc.",USA,Technology,Software—Application, ,au_market,PNK, ,595992,-0.034949, 
"Acciona, S.A.",Spain,Industrials,Engineering & Construction,EUR,au_market,MCE,15,5655756288,0.635443,2
"América Móvil, S.A.B. de C.V.",Mexico,Communication Services,Telecom Services,MXN,au_market,MEX,17,978615926784,0.309823, 
Amerityre Corporation,USA,Consumer Cyclical,Auto Parts,USD,au_market,PNK, ,2294653,0.326381, 
American Sands Energy Corp.,USA, , , ,au_market,PNK, , , , 
"Amadeus IT Group, S.A.",Spain,Technology,Information Technology Services,EUR,au_market,MCE,24,27339362304,1.141139,3.1
American Metals Recovery and Recycling Inc.,USA,Financial Services,Shell Companies, ,au_market,PNK, ,252408, , 
AMP Limited,Australia,Financial Services,Asset Management,AUD,au_market,ASX,10,6065598976,1.029113, 
"Armco Metals Holdings, Inc",USA, , , ,au_market,PNK, , , , 
American Bank Incorporated,USA,Financial Services,Banks—Regional,USD,au_market,PNK, ,32693280,-0.17531, 
"Amarillo Biosciences, Inc.",USA,Healthcare,Biotechnology,USD,au_market,PNK,1,8613423,-0.261555, 
Arkanova Energy Corporation,USA,Energy,Oil & Gas E&P, ,au_market,PNK, ,135455,-43.80327, 
AKITA Drilling Ltd.,Canada,Energy,Oil & Gas Drilling, ,au_market,TOR, ,11203350,0.970693, 
Aker ASA,Norway,Energy,Oil & Gas Equipment & Services,NOK,au_market,OSL,8,37333749760,1.742405, 
AGT Food and Ingredients Inc.,Canada, , , ,au_market,TOR, , , , 
Alamos Gold Inc.,Canada,Basic Materials,Gold,USD,au_market,TOR,13,4327532032,1.483917, 
AGF Management Limited,Canada,Financial Services,Asset Management,CAD,au_market,TOR,6,389475008,2.282344,2.8
Arendals Fossekompani ASA,Norway,Utilities,Utilities—Renewable, ,au_market,OSL, ,9823806464,0.321518, 
AlarmForce Industries Inc.,Canada, , , ,au_market,TOR, , , , 
Andrew Peller Limited,Canada,Consumer Defensive,Beverages—Wineries & Distilleries,CAD,au_market,TOR,2,469060672,0.641887,2
"AllDigital Holdings, Inc",USA,Services,Broadcasting - TV, ,au_market,PNK, ,1874491,0.42841, 
Accord Financial Corp.,Canada,Financial Services,Credit Services,CAD,au_market,TOR, ,58200588,2.022158, 
Ambev S.A.,Brazil,Consumer Defensive,Beverages—Brewers,BRL,au_market,SAO,15,232224980992,0.774559, 
"Abertis Infraestructuras, S.A.",Spain, , , ,au_market,MCE, , , , 
"ABCO Energy, Inc.",USA,Technology,Solar, ,au_market,PNK, ,1075200,1.869785, 
"All-American Sportpark, Inc.",USA,Financial Services,Shell Companies,USD,au_market,PNK, ,1046752,-0.48478, 
Apple Inc.,Mexico,Technology,Consumer Electronics, ,au_market,MEX, ,41834218782720,1.354002, 
Anglo American plc,United Kingdom,Basic Materials,Other Industrial Metals & Mining,USD,au_market,LSE,24,32461512704,1.107594, 
Yancoal Australia Ltd,Australia,Energy,Thermal Coal,AUD,au_market,ASX,1,2759719680,0.53481, 
XTD Limited,Australia, , , ,au_market,ASX, , , , 
Westfield Corporation Limited,Australia, , , ,au_market,ASX, , , , 
VBG Group AB (publ),Sweden,Consumer Cyclical,Auto Parts,SEK,au_market,STO,1,7534631936,0.917088, 
Ultima United Limited,Australia,Real Estate,Real Estate—Development, ,au_market,ASX, ,19611602,1.791772, 
United Overseas Australia Limited,Australia,Real Estate,Real Estate—Development, ,au_market,ASX, ,1158338944,0.337341, 
Uscom Limited,Australia,Healthcare,Medical Devices,AUD,au_market,ASX,1,24603360,-1.148734, 
"Universal Biosensors, Inc.",Australia,Healthcare,Medical Devices,AUD,au_market,ASX,1,81683120,0.477848,2
Terramin Australia Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,au_market,ASX, ,86778960,0.403164, 
Treasury Wine Estates Limited,Australia,Consumer Defensive,Beverages—Wineries & Distilleries,AUD,au_market,ASX,11,6240455680,0.460126, 
Ten Network Holdings Limited,Australia, , , ,au_market,ASX, , , , 
"ARYx Therapeutics, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,au_market,PNK,1,238280,-0.519165,1
Storebrand ASA,Norway,Financial Services,Financial Conglomerates,NOK,au_market,OSL,11,29904123904,1.303797, 
Scanship Holding ASA,Norway, , , ,au_market,OSL, , , , 
Stellar AfricaGold Inc.,Canada,Basic Materials,Gold,CAD,au_market,VAN,1,3700515,1.937812,3
Sovereign Mines Of Africa PLC,United Kingdom, , , ,au_market,LSE, , , , 
"Monarch America, Inc.",USA, , , ,au_market,PNK, , , , 
Skanska AB (publ),Sweden,Industrials,Engineering & Construction,SEK,au_market,STO,8,85235310592,0.910759, 
