Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
Smartgroup Corporation Ltd,Australia,Industrials,Specialty Business Services,AUD,au_market,ASX,7,843413312,0.887974, 
Select Harvests Limited,Australia,Consumer Defensive,Packaged Foods,AUD,au_market,ASX,6,665637632,0.167088, 
Senetas Corporation Limited,Australia,Technology,Software—Infrastructure,AUD,au_market,ASX,1,59518252,1.163924, 
Steadfast Group Limited,Australia,Financial Services,Insurance Brokers,AUD,au_market,ASX, ,3395741440,1.046202, 
STADA Arzneimittel Aktiengesellschaft,Germany, , , ,au_market,GER, , , , 
SAP SE,Germany, , , ,au_market,GER, , , , 
Sanwaria Agro Oils Limited,India,Consumer Defensive,Farm Products, ,au_market,NSI, ,972440128,2.550377, 
Saab AB (publ),Sweden,Industrials,Aerospace & Defense,SEK,au_market,STO,8,30474481664,1.412658, 
Resource Base Limited,Australia, , , ,au_market,ASX, ,3987160170496, , 
Hermès International Société en commandite par actions,France,Consumer Cyclical,Luxury Goods,EUR,au_market,PAR,15,86297477120,0.420886, 
Red Emperor Resources NL,United Kingdom,Energy,Oil & Gas E&P,AUD,au_market,LSE,1,5580495,1.305063, 
Rigolleau S.A.,Argentina,Consumer Defensive,Household & Personal Products,ARS,au_market,BUE, ,14506399744,1.129722, 
Phylogica Limited,Australia,Healthcare,Biotechnology,AUD,au_market,ASX,1,491494144,1.086708, 
