Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
Authentidate Holding Corp.,USA, , , ,us_market,PNK, , , , 
Adaptimmune Therapeutics plc,USA,Healthcare,Biotechnology,USD,us_market,NMS,6,735200256,2.478015,2.4
Acme United Corporation,USA,Consumer Defensive,Household & Personal Products,USD,us_market,ASE,1,112087208,1.021984,1
WestJet Airlines Ltd.,Canada, , , ,us_market,TOR, , , , 
Turkcell Iletisim Hizmetleri A.S.,USA,Communication Services,Telecom Services,TRY,us_market,NYQ,3,4230724864,0.777917,2.3
"U.S. Auto Parts Network, Inc.",USA,Consumer Cyclical,Internet Retail,USD,us_market,NMS,4,726568768,2.777339,2
"Pope Resources, A Delaware Limited Partnership",USA, , , ,us_market,NCM, , , , 
"Adams Natural Resources Fund, Inc.",USA,Financial Services,Asset Management,USD,us_market,NYQ, ,328753536,1.614994, 
North Atlantic Drilling Ltd.,USA, , , ,us_market,NYQ, , , , 
"General American Investors Company, Inc.",USA,Financial Services,Asset Management,USD,us_market,NYQ, ,897291648,1.095828, 
Double Eagle Acquisition Corp.,USA, , , ,us_market,NCM, , , , 
"Delta Apparel, Inc.",USA,Consumer Cyclical,Apparel Manufacturing,USD,us_market,ASE,1,148137584,1.661217,2
"Brooks Automation, Inc.",USA,Technology,Semiconductor Equipment & Materials,USD,us_market,NMS,7,5419992576,1.705749,2
"Auburn National Bancorporation, Inc.",USA,Financial Services,Banks—Regional,USD,us_market,NGM, ,150853648,0.622322, 
"Amtech Systems, Inc.",USA,Technology,Semiconductor Equipment & Materials,USD,us_market,NMS,2,91832696,1.555806, 
ASA Gold and Precious Metals Limited,USA,Financial Services,Asset Management,USD,us_market,NYQ, ,401229920,0.901916, 
"Amphastar Pharmaceuticals, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NMS,5,852221760,1.032694,2.4
"Aldeyra Therapeutics, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,9,260484208,2.042841,1.5
"ADDvantage Technologies Group, Inc.",USA,Technology,Electronics & Computer Distribution,USD,us_market,NGM,1,36781368,0.066516, 
Arbutus Biopharma Corporation,USA,Healthcare,Biotechnology,USD,us_market,NMS,5,338788096,3.033821,2
Ablynx NV,Belgium, , , ,us_market,BRU, , , , 
