Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
"AeroVironment, Inc.",USA,Industrials,Aerospace & Defense,USD,us_market,NMS,4,2105028608,0.513528,2
"Amkor Technology, Inc.",USA,Technology,Semiconductors, ,us_market,NMS,3,3646387712,1.607102,3.3
Aluminum Corporation Of China Limited,USA,Basic Materials,Aluminum,CNY,us_market,NYQ,1,9778451456,1.27405, 
"Advanced Energy Industries, Inc.",USA,Industrials,Electrical Equipment & Parts,USD,us_market,NMS,9,3817701888,1.610484,2.4
Alleghany Corporation,USA,Financial Services,Insurance—Property & Casualty,USD,us_market,NYQ,2,8347533824,0.675873,2.3
MTGE Investment Corp.,USA, , , ,us_market,NMS, , , , 
Century Aluminum Company,USA,Basic Materials,Aluminum,USD,us_market,NMS,3,978516352,2.270574,3
Altisource Portfolio Solutions S.A.,USA,Financial Services,Mortgage Finance,USD,us_market,NMS, ,203446096,1.31567, 
Amarin Corporation plc,USA,Healthcare,Biotechnology,USD,us_market,NGM,11,1909150336,2.961668,2.2
"Ampio Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,ASE, ,169195792,1.801014,2
"AMAG Pharmaceuticals, Inc.",USA, , , ,us_market,NMS, , , , 
Alkermes plc,USA,Healthcare,Biotechnology,USD,us_market,NMS,11,2937908736,1.182638,3
"Advanced Emissions Solutions, Inc.",USA,Industrials,Pollution & Treatment Controls,USD,us_market,NGM,1,99231264,0.708568,2
"AAON, Inc.",USA,Industrials,Building Products & Equipment,USD,us_market,NMS,1,3356032512,0.658399,3.5
Acceleron Pharma Inc.,USA,Healthcare,Biotechnology,USD,us_market,NGM,13,7230842880,0.523111,1.9
"Verisk Analytics, Inc.",USA,Industrials,Consulting Services,USD,us_market,NMS,15,32540762112,0.755918,2.4
Voxeljet AG,USA,Technology,Computer Hardware,EUR,us_market,NYQ,1,56000880,2.481397,2
"Orbital ATK, Inc.",USA, , , ,us_market,NYQ, , , , 
"Atlas Energy Group, LLC",USA,Energy,Oil & Gas E&P,USD,us_market,PNK, ,124697,0.468432, 
"Preferred Apartment Communities, Inc.",USA,Real Estate,REIT—Residential,USD,us_market,NYQ,5,405691872,0.784667,2.8
"Apollo Global Management, LLC",USA,Financial Services,Asset Management,USD,us_market,NYQ,14,10340194304,1.609921,2.4
"Alaska Communications Systems Group, Inc.",USA,Communication Services,Telecom Services,USD,us_market,NMS,1,165235072,1.005636, 
Alamo Group Inc.,USA,Industrials,Farm & Heavy Construction Machinery, ,us_market,NYQ,3,1614396800,0.967305,1.3
A.H. Belo Corporation,USA,Communication Services,Publishing,USD,us_market,NYQ,1,31687392,0.426719, 
Acacia Research Corporation,USA,Industrials,Specialty Business Services,USD,us_market,NMS,1,182334160,0.782976, 
Ritchie Bros. Auctioneers Incorporated,USA,Industrials,Specialty Business Services,USD,us_market,NYQ,7,7621514752,1.127959,2.4
"Mid-America Apartment Communities, Inc.",USA,Real Estate,REIT—Residential,USD,us_market,NYQ,12,14249358336,0.634723,2.5
Brookfield Asset Management Inc.,USA,Financial Services,Asset Management,USD,us_market,NYQ,12,61071945728,1.105789,1.7
"athenahealth, Inc.",USA, , , ,us_market,NMS, , , , 
Atlantic Power Corporation,USA,Utilities,Utilities—Independent Power Producers,USD,us_market,NYQ,3,184631600,0.367405,2.3
"Advanced Semiconductor Engineering, Inc.",USA,Technology,Semiconductors,TWD,us_market,NYQ,4,11728507904,1.22096,1.5
Arcos Dorados Holdings Inc.,USA,Consumer Cyclical,Restaurants,USD,us_market,NYQ,8,1013530688,1.582299,2
"Arista Networks, Inc.",USA,Technology,Computer Hardware,USD,us_market,NYQ,22,20671479808,1.046786,2.4
Access National Corporation,USA, , , ,us_market,NGM, , , , 
AAR Corp.,USA,Industrials,Aerospace & Defense,USD,us_market,NYQ,5, ,1.510146,1.6
Astoria Financial Corporation,USA, , , ,us_market,NYQ, , , , 
Westinghouse Air Brake Technologies Corporation,USA,Industrials,Railroads,USD,us_market,NYQ,11,13760570368,1.638105,2.5
Reliance Steel & Aluminum Co.,USA,Basic Materials,Steel,USD,us_market,NYQ,6,7666057216,1.053551,2.4
Packaging Corporation of America,USA,Consumer Cyclical,Packaging & Containers,USD,us_market,NYQ,10,12511976448,1.076099,2.6
"Accelerate Diagnostics, Inc.",USA,Healthcare,Diagnostics & Research,USD,us_market,NCM,3,441980160,2.665727,2.4
"AV Homes, Inc.",USA, , , ,us_market,NMS, , , , 
Avista Corporation,USA,Utilities,Utilities—Diversified,USD,us_market,NYQ,5,2585844736,0.447576,3
"Athersys, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,5,353883008,-1.677564,1.7
"Arrowhead Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,12,6436698624,1.741826,1.9
"Angie's List, Inc.",USA,Communication Services,Internet Content & Information,USD,us_market,NMS,17,6137506816,2.073973,2
"Affiliated Managers Group, Inc.",USA,Financial Services,Asset Management,USD,us_market,NYQ,8,4025344000,1.408117,2.6
"Allison Transmission Holdings, Inc.",USA,Consumer Cyclical,Auto Parts,USD,us_market,NYQ,10,4589089792,1.237316,2.3
"Align Technology, Inc.",USA,Healthcare,Medical Devices,USD,us_market,NMS,14,39433084928,1.746899,2.1
"Akebia Therapeutics, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NGM,7,449516288,1.827508,2.2
Assured Guaranty Ltd.,USA,Financial Services,Insurance—Specialty,USD,us_market,NYQ,3,2505800192,1.074408,1.7
