Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
"Alnylam Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,23,15367261184,1.590191,2
Laboratory Corporation of America Holdings,USA, , ,USD,us_market,NYQ,15,19622205440,1.195603,1.8
Avery Dennison Corporation,USA,Industrials,Business Equipment & Supplies,USD,us_market,NYQ,11,12658635776,0.996054,2.4
Yamana Gold Inc.,USA,Basic Materials,Gold,USD,us_market,NYQ,12,5222050816,2.007147,2.6
Ashland Global Holdings Inc.,USA,Basic Materials,Chemicals,USD,us_market,NYQ,10,4614870016,1.401352,2.1
Acxiom Corporation,USA, , , ,us_market,NMS, , , , 
"Achillion Pharmaceuticals, Inc.",USA, , , ,us_market,NMS, , , , 
Aceto Corporation,USA,Healthcare,Biotechnology,USD,us_market,NMS,4,235207200, ,1.7
"ABIOMED, Inc.",USA,Healthcare,Medical Devices,USD,us_market,NMS,5,12120382464,1.425591,2.3
ABM Industries Incorporated,USA,Industrials,Specialty Business Services,USD,us_market,NYQ,4,2597462528,1.275648,2
"aTyr Pharma, Inc.",USA, ,Biotechnology,USD,us_market,NMS,3,42779100,1.967305,1.7
Atmos Energy Corporation,USA,Utilities,Utilities—Regulated Gas,USD,us_market,NYQ,10,12165912576,0.288049,2.3
Aon plc,USA,Financial Services,Insurance Brokers,USD,us_market,NYQ,12,48806338560,0.818489,2.5
"Advaxis, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS, ,34846520,3.494363,2
Agree Realty Corporation,USA,Real Estate,REIT—Retail,USD,us_market,NYQ,13,3669956608,0.238444,1.5
"AmeriGas Partners, L.P.",USA, , , ,us_market,NYQ, , , , 
"Spirit Airlines, Inc.",USA,Industrials,Airlines,USD,us_market,NMS,15,2204599296,1.428974,2.7
"Akorn, Inc.",USA, , , ,us_market,NMS, , , , 
Alliance Data Systems Corporation,USA,Financial Services,Credit Services,USD,us_market,NYQ,16,3637314560,2.415445,2.3
"Abaxis, Inc.",USA, , , ,us_market,NMS, , , , 
"Acuity Brands, Inc.",USA,Industrials,Electrical Equipment & Parts,USD,us_market,NYQ,9,4398622720,1.326381,2.8
American Tower Corporation,USA,Real Estate,REIT—Specialty,USD,us_market,NYQ,18,104661024768,0.30496,2
"Alder Biopharmaceuticals, Inc.",USA, , , ,us_market,NGM, , , , 
AECOM,USA,Industrials,Engineering & Construction,USD,us_market,NYQ,9,7909079552,1.651071,1.6
"Antares Pharma, Inc.",USA,Healthcare,Medical Instruments & Supplies,USD,us_market,NCM,6,523350112,1.426155,1.5
"Arrow Electronics, Inc.",USA,Technology,Electronics & Computer Distribution,USD,us_market,NYQ,8,7001529344,1.537204,2.9
"Apollo Commercial Real Estate Finance, Inc.",USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,3,1551684736,1.21195,3
Antero Resources Corporation,USA,Energy,Oil & Gas E&P,USD,us_market,NYQ,13,1037073920,4.77903,3.1
"AMC Entertainment Holdings, Inc.",USA,Communication Services,Entertainment,USD,us_market,NYQ,7,570185088,2.086809,3.4
Air Lease Corporation,USA,Industrials,Rental & Leasing Services, ,us_market,NYQ,8,4303121920,2.043968,1.8
Agenus Inc.,USA,Healthcare,Biotechnology,USD,us_market,NCM,2,722566144,2.100338,1.3
"Aaron's, Inc.",USA,Industrials,Rental & Leasing Services,USD,us_market,NYQ,9,1243724416,1.998308,2
"Aqua America, Inc.",USA, , , ,us_market,NYQ, , , , 
Booz Allen Hamilton Holding Corporation,USA,Industrials,Consulting Services,USD,us_market,NYQ,11,12271720448,0.801014,2.2
Abraxas Petroleum Corporation,USA,Energy,Oil & Gas E&P,USD,us_market,NCM,2,18403578,3.502254,3.5
"Avnet, Inc.",USA,Technology, ,USD,us_market,NYQ,9,3063708160,1.405298,2.8
Albemarle Corporation,USA,Basic Materials,Specialty Chemicals,USD,us_market,NYQ,20,14465377280,1.306651,2.9
"Assurant, Inc.",USA,Financial Services,Insurance—Specialty,USD,us_market,NYQ,4,7718608384,0.642051,1.8
Science Applications International Corporation,USA,Technology,Information Technology Services,USD,us_market,NYQ,10,5427911168,0.9239,1.6
"Avis Budget Group, Inc.",USA,Industrials,Rental & Leasing Services,USD,us_market,NMS,6,2549018880,2.494363,2.3
AngloGold Ashanti Limited,USA,Basic Materials,Gold,USD,us_market,NYQ,6,9555496960,0.104534,2.5
Amphenol Corporation,USA,Technology,Electronic Components,USD,us_market,NYQ,16,39371792384,1.254791,2.2
"Anthera Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NGM,1,626656,2.35062, 
"América Móvil, S.A.B. de C.V.",USA,Communication Services,Telecom Services,MXN,us_market,NYQ,9,49346678784,0.309823,2.1
Amedica Corporation,USA, , , ,us_market,NCM, , , , 
Arlington Asset Investment Corp.,USA, , , ,us_market,NYQ, , , , 
The Advisory Board Company,USA, , , ,us_market,NMS, , , , 
Western Asset Mortgage Capital Corporation,USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,1,188519360,1.741262,3.3
Mustera Property Group Limited,Australia,Real Estate,Real Estate—Development, ,us_market,ASX, ,34867800,-0.177215, 
"Jack Henry & Associates, Inc.",USA,Technology,Information Technology Services,USD,us_market,NMS,10,12312855552,0.505073,2.8
