Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
Aeterna Zentaris Inc.,USA,Healthcare,Biotechnology,USD,us_market,NCM, ,24113960,2.398141, 
"AcelRx Pharmaceuticals, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,5,132097296,1.519165,2
Rockwell Automation Inc.,USA,Industrials,Specialty Industrial Machinery,USD,us_market,NYQ,22,28691566592,1.461104,2.8
"Gaming and Leisure Properties, Inc.",USA,Real Estate,REIT—Specialty,USD,us_market,NMS,16,9580493824,1.028184,1.8
AZZ Inc.,USA, ,Electrical Equipment & Parts,USD,us_market,NYQ,2,1176827904,1.388951,1.7
"AtriCure, Inc.",USA,Healthcare,Medical Instruments & Supplies,USD,us_market,NGM,8,1946352896,0.92841,1.4
ARRIS International plc,USA, , , ,us_market,NMS, , , , 
Aramark,USA,Consumer Cyclical,Restaurants,USD,us_market,NYQ,15,9285064704,1.793122,2.4
A. O. Smith Corporation,USA,Industrials,Specialty Industrial Machinery,USD,us_market,NYQ,9,8890428416,1.094137,2.6
Amira Nature Foods Ltd.,USA, , , ,us_market,NYQ, , , , 
"American Midstream Partners, LP",USA, , , ,us_market,NYQ, , , , 
AMC Networks Inc.,USA,Communication Services,Broadcasting,USD,us_market,NMS,15,1334500480,0.936302,3.1
"Alimera Sciences, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,4,23606004,1.858511,2
"ALLETE, Inc.",USA,Utilities,Utilities—Diversified,USD,us_market,NYQ,6,2975043328,0.347801,2.5
"Ashford Hospitality Trust, Inc.",USA,Real Estate,REIT—Hotel & Motel,USD,us_market,NYQ,5,111865864,1.642051,2.8
ABB Ltd,USA,Industrials,Electrical Equipment & Parts,USD,us_market,NYQ,4,54619627520,1.202531,2.5
"Spirit AeroSystems Holdings, Inc.",USA,Industrials,Aerospace & Defense,USD,us_market,NYQ,19,3565865984,1.380496,2.6
Sealed Air Corporation,USA,Consumer Cyclical,Packaging & Containers,USD,us_market,NYQ,11,7152552448,1.208004,2.4
Delphi Automotive PLC,USA, , , ,us_market,NYQ, , , , 
"CBL & Associates Properties, Inc.",USA, , , ,us_market,NYQ, , , , 
