Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
Kazakhstan Potash Corporation Limited,Australia, , , ,no_market,ASX, , , , 
KalNorth Gold Mines Limited,Australia,Basic Materials,Gold,AUD,no_market,ASX,1,11625120,2.824683, 
KGL Resources Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,no_market,ASX,1,99045656,1.579746, 
KROMI Logistik AG,Germany,Industrials,Industrial Distribution,EUR,no_market,GER,1,30524260,0.165822, 
Joyce Corporation Limited,Australia,Consumer Cyclical,Specialty Retail,AUD,no_market,ASX, ,47886620,1.010759, 
Ambient Water Corporation,USA,Industrials,Pollution & Treatment Controls,USD,no_market,PNK, ,186872,-20.894588, 
Itab Shop Concept AB,Sweden,Industrials,Business Equipment & Supplies,SEK,no_market,STO,1,1271596928,1.879113, 
Incitec Pivot Limited,Australia,Basic Materials,Specialty Chemicals,AUD,no_market,ASX,10,4564240384,1.188607, 
ImpediMed Limited,Australia,Healthcare,Medical Devices,AUD,no_market,ASX,3,166873008,2.086708, 
Independence Group NL,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,no_market,ASX,13,2865365248,1.086708, 
Integrated Asset Management Corp.,Canada, , , ,no_market,TOR, , , , 
"EF Hutton America, Inc.",USA,Communication Services,Internet Content & Information, ,no_market,PNK, ,3442890,0.698421, 
Husqvarna AB (publ),Sweden,Industrials,Tools & Accessories,SEK,no_market,STO,5,50951983104,1.401898, 
HFA Holdings Limited,Australia, , , ,no_market,ASX, , , , 
Hexagon AB,Sweden,Technology,Scientific & Technical Instruments,EUR,no_market,STO,13,259932078080,1.365189, 
Hawthorn Resources Limited,Australia,Basic Materials,Gold,AUD,no_market,ASX, ,33351600,0.831012, 
Galaxy Resources Limited,Australia,Basic Materials,Other Industrial Metals & Mining,USD,no_market,ASX,9,831366144,0.187341, 
GUD Holdings Limited,Australia,Industrials,Specialty Industrial Machinery,AUD,no_market,ASX,7,1042092416,0.929113, 
Goodman Group,Australia,Real Estate,REIT—Diversified,AUD,no_market,ASX,10,34232879104,0.616455, 
Genmab A/S,Denmark, , , ,no_market,CPH, , , , 
G8 Education Limited,Australia,Consumer Defensive,Education & Training Services,AUD,no_market,ASX,11,1046526656,1.30886, 
Global Construction Services Limited,Australia, , , ,no_market,ASX, , , , 
Grupo Clarín S.A.,Argentina,Communication Services,Entertainment,ARS,no_market,BUE,1,5557359616,0.52057, 
Gale Pacific Limited,Australia,Consumer Cyclical,Textile Manufacturing,AUD,no_market,ASX,1,92255992,1.168987, 
Global Arena Holding Inc.,USA,Technology,Software—Application,USD,no_market,PNK, ,3476572,3.388387, 
GEA Group Aktiengesellschaft,Germany,Industrials,Specialty Industrial Machinery, ,no_market,GER, ,5136802304,1.195569, 
James Fisher and Sons plc,United Kingdom,Industrials,Specialty Business Services,GBP,no_market,LSE,4,482029408,1.164556, 
Fortescue Metals Group Limited,Australia,Basic Materials,Other Industrial Metals & Mining,USD,no_market,ASX,17,56129441792,1.005063, 
Feelgood Svenska AB (publ),Sweden,Healthcare,Healthcare Plans,SEK,no_market,STO, ,288045920,1.061392, 
"Experience Art and Design, Inc.",USA, , , ,no_market,PNK, , , , 
Telefonaktiebolaget LM Ericsson (publ),Germany,Technology,Communication Equipment, ,no_market,GER, ,33983848448,0.177848, 
Eco (Atlantic) Oil & Gas Ltd.,Canada,Energy,Oil & Gas E&P,CAD,no_market,VAN, ,75726176,2.468906, 
Energy Metals Limited,Australia,Energy,Uranium, ,no_market,ASX, ,20968302,1.456329, 
Elders Limited,Australia,Consumer Defensive,Farm Products,AUD,no_market,ASX,4,1673373184,0.157594, 
ADF Group Inc.,Canada,Industrials,Metal Fabrication,CAD,no_market,TOR, ,40794000,1.335954, 
Domino's Pizza Enterprises Limited,Australia,Consumer Cyclical,Restaurants,AUD,no_market,ASX,11,7090592256,0.442405, 
Central Petroleum Limited,Australia,Energy,Oil & Gas E&P,AUD,no_market,ASX,1,97663728,0.590506, 
CSL Limited,Australia,Healthcare,Biotechnology,USD,no_market,ASX,11,134790602752,0.153164, 
American Cryostem Corporation,USA,Healthcare,Biotechnology, ,no_market,PNK, ,15688507,0.22266, 
CompuGroup Medical Societas Europaea,Germany,Healthcare,Health Information Services,EUR,no_market,GER,7,4009578496,0.744936,2.1
"Legend Oil and Gas, Ltd.",USA,Energy,Oil & Gas Midstream, ,no_market,PNK, ,715983,0.147125, 
"Advanzeon Solutions, Inc.",USA,Healthcare,Medical Care Facilities,USD,no_market,PNK, ,15688519,2.606538, 
Cardno Limited,Australia,Industrials,Engineering & Construction,AUD,no_market,ASX,1,145280832,1.136708, 
Compagnie des Alpes SA,France,Consumer Cyclical,Leisure,EUR,no_market,PAR,5,489787392,1.199367, 
Cambria Automobiles plc,United Kingdom,Consumer Cyclical,Auto & Truck Dealerships,GBP,no_market,LSE,1,56000000,1.108227, 
Base Resources Limited,Australia,Basic Materials,Other Industrial Metals & Mining,USD,no_market,ASX,4,347512928,0.559493, 
Airboss of America Corp.,Canada,Basic Materials,Specialty Chemicals,USD,no_market,TOR,5,485703808,1.321658,1.8
Boom Logistics Limited,Australia,Industrials,Industrial Distribution,AUD,no_market,ASX,1,68443840,1.094303, 
Byggmax Group AB (publ),Sweden,Industrials,Building Products & Equipment,SEK,no_market,STO,1,2855973120,1.490506, 
Boart Longyear Limited,Australia,Energy,Oil & Gas Equipment & Services,USD,no_market,ASX,1,30979130,1.901265,3
Brickworks Limited,Australia,Basic Materials,Building Materials,AUD,no_market,ASX,5,2974333184,0.838607, 
Blackmores Limited,Australia,Consumer Defensive,Household & Personal Products,AUD,no_market,ASX,6,1539109632,0.37405, 
Bell Financial Group Limited,Australia,Financial Services,Capital Markets,AUD,no_market,ASX, ,474701120,1.129113, 
Beijer Alma AB (publ),Sweden,Industrials,Specialty Industrial Machinery,SEK,no_market,STO,2,7412250624,1.383544, 
BBA Aviation plc,United Kingdom, , , ,no_market,LSE, , , , 
Bayer Aktiengesellschaft,Germany,Healthcare,Drug Manufacturers—General, ,no_market,GER, ,47035559936,1.360126, 
British American Tobacco p.l.c.,United Kingdom,Consumer Defensive,Tobacco,GBP,no_market,LSE,19,61715058688,0.602531, 
TV Azteca SAB de CV,Mexico,Communication Services,Broadcasting,MXN,no_market,MEX,4,999690304,1.460957, 
Azure Holding Group Corp.,USA,Financial Services,Shell Companies, ,no_market,PNK, ,2872872,-1.221533, 
Azimut Holding S.p.A.,Italy,Financial Services,Asset Management,EUR,no_market,MIL,12,2426873344,2.056962, 
Arizona Mining Inc.,Canada, , , ,no_market,TOR, , , , 
Awilco Drilling Plc,Norway,Energy,Oil & Gas Drilling,USD,no_market,OSL,7,189397808,1.611392, 
