Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
"PASSUR Aerospace, Inc.",USA,Industrials,Aerospace & Defense,USD,no_market,PNK, ,2467868,0.049605, 
Petsec Energy Ltd,Australia,Energy,Oil & Gas E&P,USD,no_market,ASX, ,8580348,0.991139,3
Perpetual Limited,Australia,Financial Services,Asset Management,AUD,no_market,ASX,10,1920175744,1.383544, 
PNE Wind AG,Germany,Utilities,Utilities—Renewable,EUR,no_market,GER,4,596951424,0.701265, 
Premier Investments Limited,Australia,Consumer Cyclical,Apparel Retail,AUD,no_market,ASX,10,3639574272,1.250632, 
"Altria Group, Inc.",France,Consumer Defensive,Tobacco, ,no_market,FRA, ,62631522304,0.509582, 
Proguard Acquisition Corp,USA, , , ,no_market,PNK, , , , 
Peak Resources Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,no_market,ASX,1,100714248,0.671518, 
Paladin Energy Ltd,Australia,Basic Materials,Other Industrial Metals & Mining,USD,no_market,ASX,1,324462400,1.05886, 
Probiotec Limited,Australia,Healthcare,Drug Manufacturers—Specialty & Generic,AUD,no_market,ASX, ,164513568,0.132278, 
Panoramic Resources Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,no_market,ASX,4,266618288,1.663924, 
OSRAM Licht AG,Germany,Industrials,Electrical Equipment & Parts,EUR,no_market,GER,19,4870042112,0.793037, 
Orica Limited,Australia,Basic Materials,Specialty Chemicals,AUD,no_market,ASX,10,6615827456,0.893037, 
Aura Minerals Inc.,Canada,Basic Materials,Gold,USD,no_market,TOR, ,1004543424,0.280914, 
Opera Software ASA,Norway, , , ,no_market,OSL, , , , 
OFX Group Limited,Australia,Financial Services,Capital Markets,AUD,no_market,ASX,2,298479616,0.272151, 
OVB Holding AG,Germany,Financial Services,Capital Markets,EUR,no_market,GER,1,260798784,0.607594, 
NTM Gold Limited,Australia,Basic Materials,Gold,AUD,no_market,ASX,1,82063080,0.662658, 
NOTE AB,Sweden,Technology,Electronic Components,SEK,no_market,STO, ,1676844288,1.958227, 
Nordic Mines AB (publ),Sweden, , , ,no_market,STO, , , , 
Nordic Semiconductor ASA,Norway,Technology,Semiconductor Equipment & Materials,USD,no_market,OSL,5,23602903040,1.432278, 
NIB Holdings Limited,Australia,Financial Services,Insurance—Specialty,AUD,no_market,ASX,10,2377263104,0.122784, 
Nordex SE,Germany,Industrials,Specialty Industrial Machinery,EUR,no_market,GER,13,1991112064,1.718354, 
Mayne Pharma Group Limited,Australia,Healthcare,Drug Manufacturers—General,AUD,no_market,ASX,6,596069824,0.743037, 
Macquarie Atlas Roads Group,Australia, , , ,no_market,ASX, , , , 
Money3 Corporation Limited,Australia,Financial Services,Credit Services,AUD,no_market,ASX,3,548695232,1.157594, 
Maison Antoine Baud Société Anonyme,France,Real Estate,REIT—Office, ,no_market,PAR, ,21287280, , 
Medistim ASA,Norway,Healthcare,Medical Devices,NOK,no_market,OSL,1,4034205952,0.381012, 
Magellan Aerospace Corporation,Canada,Industrials,Aerospace & Defense,CAD,no_market,TOR,3,543798272,1.303073,2
Liontown Resources Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,no_market,ASX, ,444935392,-0.418987, 
Lifestyle Communities Limited,Australia,Real Estate,Real Estate—Diversified,AUD,no_market,ASX,2,1208540288,0.856962, 
Ledesma Sociedad Anónima Agrícola Industrial,Argentina,Consumer Defensive,Farm Products,ARS,no_market,BUE, ,14400632832,1.24979, 
London City Equities Limited,Australia,Financial Services,Asset Management, ,no_market,ASX, ,9750723,0.063924, 
LBT Innovations Limited,Australia,Healthcare,Medical Devices,AUD,no_market,ASX,1,36092876,0.314556, 
Lassonde Industries Inc.,Canada,Consumer Defensive,Beverages—Non-Alcoholic,CAD,no_market,TOR,2,1137166592,-0.13867,2
"Grupo Lala, S.A.B. de C.V.",Mexico,Consumer Defensive,Packaged Foods,MXN,no_market,MEX,17,33895481344,0.779177, 
Los Andes Copper Ltd.,Canada,Basic Materials,Other Industrial Metals & Mining,CAD,no_market,VAN,1,183369152,1.602573,2
KSB Aktiengesellschaft,Germany,Industrials,Specialty Industrial Machinery, ,no_market,GER, ,436215360,1.05443, 
