Sector,Industry,Currency,Market,MaxAge,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean,Symbol,Name,Exchange,Country
Industrials,Airlines,USD,us_market,86400,15,6299444224,1.642615,2.1,ALK,"Alaska Air Group, Inc.",NYQ,USA
Energy,Oil & Gas Midstream,USD,us_market,86400,23,5900663808,2.136414,2,PAA,"Plains All American Pipeline, L.P.",NYQ,USA
Consumer Cyclical,Specialty Retail,USD,us_market,86400,16,10355274752,1.394588,2.3,AAP,"Advance Auto Parts, Inc.",NYQ,USA
Industrials,Marine Shipping,USD,us_market,86400,6,461175232,0.613303,2.3,NAT,Nordic American Tankers Limited,NYQ,USA
Financial Services,Mortgage Finance,USD,us_market,86400,5,3157185536,2.178692,2.8,FNMA,Federal National Mortgage Association,PNK,USA
Real Estate,REIT—Residential,USD,us_market,86400,10,4712898560,0.792559,2.7,AIV,Apartment Investment and Management Company,NYQ,USA
Healthcare,Biotechnology,USD,us_market,86400,12,3223351040,1.836527,1.9,AGIO,"Agios Pharmaceuticals, Inc.",NMS,USA
Utilities,Utilities—Regulated Electric,USD,us_market,86400,11,19408222208,0.281285,2.1,AEE,Ameren Corporation,NYQ,USA
Financial Services,Banks—Diversified,USD,us_market,86400,1,51904348160,1.187974,1.5,UBS,UBS Group AG,NYQ,USA
Healthcare,Biotechnology,USD,us_market,86400,5,315398720,0.91319,1.7,AVXL,Anavex Life Sciences Corp.,NCM,USA
Energy,Thermal Coal,USD,us_market,86400,3,564745792,1.678128,2.3,ARLP,"Alliance Resource Partners, L.P.",NMS,USA
Healthcare,Healthcare Plans,USD,us_market,86400,24,78068187136,0.966178,2,ANTM,"Anthem, Inc.",NYQ,USA
 , , ,us_market, , , , , ,AGU,Agrium Inc.,NYQ,USA
Basic Materials,Silver,USD,us_market,86400,3,2450270208,1.518942,2.3,AG,First Majestic Silver Corp.,NYQ,USA
 , , ,us_market, , , , , ,AFSI,"AmTrust Financial Services, Inc.",NMS,USA
Healthcare,Medical Distribution,USD,us_market,86400,16,20872308736,0.549605,2.4,ABC,AmerisourceBergen Corporation,NYQ,USA
 , , ,us_market, , , , , ,STO,Statoil ASA,NYQ,USA
Industrials,Metal Fabrication,USD,us_market,86400,7,1781764864,1.656144,3.2,ATI,Allegheny Technologies Incorporated,NYQ,USA
Real Estate,REIT—Residential,USD,us_market,86400,18,23377524736,0.896279,2.7,AVB,"AvalonBay Communities, Inc.",NYQ,USA
 , , ,us_market, , , , , ,ATW,"Atwood Oceanics, Inc.",NYQ,USA
