Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
Transcontinental Inc.,Canada,Industrials,Specialty Business Services,CAD,au_market,TOR,8,1711262208,0.990707,2.1
Suda Limited,Australia,Healthcare,Biotechnology,AUD,au_market,ASX,1,11659768,-1.5, 
Arcis Resources Corporation,USA,Technology,Software—Application, ,au_market,PNK, ,23805,-0.203494, 
Société Internationale de Plantations d'Hévéas Société Anonyme,France, , , ,au_market,PAR, , , , 
Sandvik AB,Sweden, ,Specialty Industrial Machinery,SEK,au_market,STO,19,241344626688,1.167721, 
Rocket Internet SE,Germany,Technology,Technical & System Software,EUR,au_market,GER,7,2523852800,0.906962, 
Ramsay Health Care Limited,Australia,Healthcare,Medical Care Facilities,AUD,au_market,ASX,11,14826975232,0.612658, 
"All Marketing Solutions, Inc.",USA,Conglomerates,Conglomerates, ,au_market,PNK, ,640825, , 
"Parks! America, Inc.",USA,Consumer Cyclical,Leisure,USD,au_market,PNK, ,28508172,1.126832, 
Pilbara Minerals Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,au_market,ASX,6,1624060288,1.106962, 
Pets at Home Group Plc,United Kingdom,Consumer Cyclical,Specialty Retail,GBP,au_market,LSE,8,2028000000,0.185443, 
OZ Minerals Limited,Australia,Basic Materials,Copper,AUD,au_market,ASX,12,5608790528,1.058227, 
Oceanteam ASA,Norway,Industrials,Marine Shipping, ,au_market,OSL, ,203899344,1.648734, 
Orkla ASA,Norway,Consumer Defensive,Packaged Foods,NOK,au_market,OSL,8,86240133120,-0.17405, 
NORMA Group SE,Germany,Industrials,Metal Fabrication, ,au_market,GER, ,1177634304,1.962025, 
North American Energy Partners Inc.,Canada,Energy,Oil & Gas Equipment & Services,CAD,au_market,TOR,5,400371232,1.374553,2
Navarre Minerals Limited,Australia,Basic Materials,Gold, ,au_market,ASX, ,113912816,1.50443, 
Myer Holdings Limited,Australia,Consumer Cyclical, ,AUD,au_market,ASX,7,299766848,1.794936, 
MQ Holding AB,Sweden, , , ,au_market,STO, , , , 
Mortgage Choice Limited,Australia,Financial Services,Mortgage Finance,AUD,au_market,ASX,1,152496336,0.751898, 
MEC Resources Limited,Australia,Energy,Oil & Gas E&P,AUD,au_market,ASX, ,2737804,0.73481, 
Lundin Petroleum AB (publ),Sweden, , , ,au_market,STO, , , , 
London & Associated Properties plc,United Kingdom,Real Estate,Real Estate Services,GBP,au_market,LSE, ,8958810,0.226582, 
Kresta Holdings Limited,Australia, , , ,au_market,ASX, , , , 
Kasbah Resources Limited,Australia, , , ,au_market,ASX, , , , 
Jervois Mining Limited,Australia,Basic Materials,Other Industrial Metals & Mining,AUD,au_market,ASX,1,274093696,2.040506,1
