Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
Alliant Energy Corporation,USA,Utilities,Utilities—Regulated Electric,USD,us_market,NYQ,8,13329743872,0.366967,2.1
Kaiser Aluminum Corporation,USA,Basic Materials,Aluminum,USD,us_market,NMS,1,1384674304,1.071589,3
"Home Bancshares, Inc. (Conway, AR)",USA,Financial Services,Banks—Regional,USD,us_market,NMS,8,3123326976,1.527621,2
First American Financial Corporation,USA,Financial Services,Insurance—Specialty,USD,us_market,NYQ,5,5430412800,1.180947,2.3
First Acceptance Corporation,USA, , , ,us_market,NYQ, , , , 
"China Automotive Systems, Inc.",USA,Consumer Cyclical,Auto Parts,USD,us_market,NCM,1,267793632,1.367531,4
"Amplify Snack Brands, Inc.",USA, , , ,us_market,NYQ, , , , 
"Acorn International, Inc.",USA,Consumer Cyclical,Internet Retail,USD,us_market,NYQ,1,53347468,0.267192,3
Atlanticus Holdings Corporation,USA,Financial Services,Credit Services,USD,us_market,NMS,1,247570624,0.694475,4
"Asterias Biotherapeutics, Inc.",USA, , , ,us_market,ASE, , , , 
"ARI Network Services, Inc.",USA, , , ,us_market,NCM, , , , 
"Appliance Recycling Centers of America, Inc.",USA, , , ,us_market,NCM, , , , 
Sphere 3D Corp.,USA,Technology,Software—Application,USD,us_market,NCM, ,14239613,1.947576, 
"ANI Pharmaceuticals, Inc.",USA,Healthcare,Drug Manufacturers—Specialty & Generic,USD,us_market,NGM,3,348506880,1.313416,2
"American Software, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,1,533328160,0.448703,1.5
"Amerisafe, Inc.",USA,Financial Services,Insurance—Specialty,USD,us_market,NMS,3,1071136256,0.4239,2.4
Allot Communications Ltd.,USA,Technology,Software—Infrastructure,USD,us_market,NMS,4,347195232,0.693912,1.7
"Akari Therapeutics, Plc",USA,Healthcare,Biotechnology,USD,us_market,NCM, ,60403084,1.637542,2
"Agilysys, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,3,876413120,1.23788,2.5
"American Financial Group, Inc.",USA,Financial Services,Insurance—Property & Casualty,USD,us_market,NYQ,3,7831609856,0.823562,2.4
"Wesco Aircraft Holdings, Inc.",USA, , , ,us_market,NYQ, , , , 
Altisource Residential Corporation,USA,Real Estate,REIT—Residential,USD,us_market,NYQ,4,955815360,0.388387,3
BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,USA,Consumer Defensive,Farm Products, ,us_market,NYQ, ,311304704,0.427371, 
"Digital Ally, Inc.",USA,Industrials,Security & Protection Services,USD,us_market,NCM,1,66396296,0.581172, 
"China Advanced Construction Materials Group, Inc.",USA, , , ,us_market,NCM, , , , 
"Aware, Inc.",USA,Technology,Software—Application,USD,us_market,NGM,1,67130048,0.070462, 
"Aviat Networks, Inc.",USA,Technology,Communication Equipment,USD,us_market,NMS,2,192788832,1.473506,2
"ATRM Holdings, Inc.",USA, , , ,us_market,PNK, , , , 
"AppFolio, Inc.",USA,Technology,Software—Application,USD,us_market,NGM,2,5431751168,1.199549,3.2
"Albany Molecular Research, Inc.",USA, , , ,us_market,NMS, , , , 
AirMedia Group Inc.,USA, , , ,us_market,NMS, , , , 
Andatee China Marine Fuel Services Corporation,USA,Energy,Oil & Gas Equipment & Services,USD,us_market,PNK,1,1743492,2.098083,3
Allegion plc,USA,Industrials,Security & Protection Services,USD,us_market,NYQ,10,10584484864,1.095264,2.9
"Aerojet Rocketdyne Holdings, Inc.",USA,Industrials,Aerospace & Defense,USD,us_market,NYQ,5,2931468032,0.337655,2.2
"Armada Hoffler Properties, Inc.",USA,Real Estate,REIT—Diversified,USD,us_market,NYQ,4,853398592,0.694475,2.2
Federal Agricultural Mortgage Corporation,USA,Financial Services,Credit Services,USD,us_market,NYQ, ,741431680,1.142615,1
"Argo Group International Holdings, Ltd.",USA, , , ,us_market,NMS, , , , 
Athens Bancshares Corporation,USA, , , ,us_market,PNK, , , , 
"ADMA Biologics, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,7,190041472,2.020856,1.7
Atlantic American Corporation,USA,Financial Services,Insurance—Life,USD,us_market,NGM, ,44094888,0.218714, 
Telecom Argentina S.A.,USA,Communication Services,Telecom Services,ARS,us_market,NYQ,8,3618198784,0.971845,3.7
"Sino-Global Shipping America, Ltd.",USA,Industrials,Integrated Freight & Logistics,USD,us_market,NCM, ,9454623,1.427846, 
North American Energy Partners Inc.,USA,Energy,Oil & Gas Equipment & Services,CAD,us_market,NYQ,1,301168640,1.374553,2
"Jaguar Health, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NCM,1,36873948,0.986954,1
AMCON Distributing Company,USA,Consumer Defensive,Food Distribution,USD,us_market,ASE, ,50178012,0.240698, 
"America's Car-Mart, Inc.",USA,Consumer Cyclical,Auto & Truck Dealerships,USD,us_market,NMS,4,740722496,1.398534,2
"China Green Agriculture, Inc.",USA,Basic Materials,Agricultural Inputs,USD,us_market,NYQ, ,15729906,0.702931, 
"A10 Networks, Inc.",USA,Technology,Software—Infrastructure,USD,us_market,NYQ,2,612133824,0.86133,1.5
"American Railcar Industries, Inc.",USA, , , ,us_market,NMS, , , , 
Aradigm Corporation,USA, , , ,us_market,NCM, , , , 
Arc Logistics Partners LP,USA, , , ,us_market,NYQ, , , , 
"Digital Turbine, Inc.",USA,Technology,Software—Application,USD,us_market,NCM,6,3953229824,2.178692,1.7
AmpliPhi Biosciences Corporation,USA, , , ,us_market,ASE, , , , 
